"human","affiliate_group"
"0x0004df58332be821ebd0a2f498c211873e3b8f2c","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x000ba6b88f4e53b9ecd508caa1eebae7dbd6e31d","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x000c7ea125f17fb33348776a3e023c1f6d54bdab","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x000e7af46fd72d4613e9e31add57565e5c9639a8","0x1c43a8be1eea4875b9bfe096a8714ca38b78304b"
"0x0014589880becddf546ddf5ac29fb9bc1494e072","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x0014a24751c7e2dc908b6eb45488b1664de83de2","0x401c07f1b1296ef9b9fc137b54468875e1919a96"
"0x001d5d9cdb1a59eca27fe8c89d1c25fd977f47fd","0xbb9298d43d4bbe3db47cd96f24d186d57a672e73"
"0x0029452eb70f1fe3b187d6da39409443d7ca270e","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x002ccee4c3e4cacd665d244793f52584ccf7f93d","0x401c07f1b1296ef9b9fc137b54468875e1919a96"
"0x003815e12349ecea46ae9c11684316d4be97a763","0xa8644ecd13de4dc5fb43ccc82d9f59f360ff67d9"
"0x0038b3a7fa3c57b7faaf925a6225dc85ecfb43de","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x003e14942c61896e9caaec77c1340a11c9876ac7","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x0041b9167f28f44a2166866d5e0e3611fbde75f9","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x0048611e23116140cd5e8ae03cb0f9a47e33291f","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x004cdbb763c2ae3393cf740d6c10d145a08b39d8","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x004ce0006564f2b3e6df8c7e7dd0dffc3ce4b76b","0xbb9298d43d4bbe3db47cd96f24d186d57a672e73"
"0x00501c7216c82742fa77d658c07eff61308d3d51","0x0b042f0b3048ef06c4a5b76d1a1b5a54c8ec7e7c"
"0x0056692ec0b5e2da7dd96339d9c53cabdcf702c6","0xf1091ed8a6f72a27f97969818ba29031aa6e58bf"
"0x006ed9f21b658f8676cdd5399c07e4884a76400a","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x006fe4d46fca9bc5a37f1130791c3ccd5f793e9b","0xc97df402be371c6c7e06ba118ca53f90e849e831"
"0x00724cf9c3661629888ef9f2bb061c9a5f42dbe2","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x0075469eaa7810442c232e415ccf3e1aa58b8077","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x0079d71120eb42f667c240e020f301f006334f6d","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x007e0e80f51bbdc6b6801678f0ff374e4c049ace","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x007f49c84e756a3916cd0f6ec492ddca565e7727","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x008350384f5bd0517b3bab9b0788c66a8bf82d19","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x0088b74c96a2b2e7a367e984701e27232f41aeb4","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x0088cac8f3e468a0d0314365fdda99e143fc3fb5","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x008c3a081e7991e4d4280f56dc7af615356f13b0","0x7190fce1e52ed32917d616b9064c977a7bdd76a3"
"0x009626daded5e90aecee30ad3ebf2b3e510fe256","0xeecae593589a6ee4a12ae64f19420b47f3112fa9"
"0x009d165ffd15e6a976c30dfd57c24c111346572b","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x00a1ece59cd9c672475a62cb0395ab3fe066263b","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
